curve_uid,paper_key,native_index,j,eta_mV
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,21,62.03228869895536,73.54685646500594
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,22,67.01804368471035,76.51245551601424
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,23,71.60493827160494,79.47805456702254
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,24,76.79012345679013,82.44365361803085
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,25,81.9753086419753,85.40925266903916
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,26,87.35992402659069,88.37485172004746
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,27,92.34567901234568,91.34045077105577
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,28,97.13200379867047,94.30604982206407
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,29,99.52516619183285,97.27164887307238
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,0,0.607787274453939,2.3724792408066433
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,1,1.4055080721747366,5.338078291814948
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,2,2.003798670465335,8.303677342823251
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,3,2.6020892687559334,11.269276393831555
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,4,3.0009496676163323,14.23487544483986
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,5,4.197530864197529,17.200474495848166
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,6,4.995251661918326,20.166073546856467
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,7,6.191832858499523,23.13167259786477
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,8,7.38841405508072,26.097271648873075
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,9,8.983855650522315,29.06287069988138
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,10,10.579297245963911,32.028469750889684
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,11,12.174738841405507,34.99406880189799
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,12,14.1690408357075,37.95966785290629
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,13,16.163342830009494,40.9252669039146
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,14,18.55650522317189,43.8908659549229
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,15,20.94966761633428,46.856465005931206
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,16,23.741690408357073,49.82206405693951
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,17,26.533713200379864,52.787663107947814
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,18,29.724596391263056,55.75326215895612
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,19,32.91547958214625,58.718861209964416
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,20,36.10636277302944,61.68446026097273
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,21,39.895536562203226,64.65005931198104
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,22,43.684710351377014,67.61565836298932
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,23,47.673314339981005,70.58125741399763
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,24,51.86134852801519,73.54685646500594
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,25,56.24881291547958,76.51245551601424
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,26,60.83570750237417,79.47805456702254
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,27,65.62203228869896,82.44365361803085
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,28,70.40835707502374,85.40925266903916
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,29,75.19468186134853,88.37485172004746
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,30,80.37986704653372,91.34045077105577
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,31,85.76448243114909,94.30604982206407
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,32,91.14909781576448,97.27164887307238
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,33,96.73314339981006,100.23724792408068
batch0/case10/figure_4__panel_b/curve_3,10.1002/adma.202412541,34,99.92402659069326,103.20284697508899
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,0,2.2032288698955345,1.7793594306049825
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,1,3.0009496676163323,4.1518386714116255
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,2,3.7986704653371297,6.524317912218269
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,3,4.995251661918326,8.896797153024911
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,4,6.191832858499523,11.269276393831555
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,5,7.7872744539411185,13.641755634638198
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,6,9.981006647673313,16.014234875444842
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,7,12.573599240265905,18.386714116251486
batch0/case10/figure_4__panel_b/curve_4,10.1002/adma.202412541,8,15.764482431149096,20.759193357058127
