condition,eta_mV,n_families,all_families_supported,n_families_supported,common_support_min_mV,common_support_max_mV,X_V_mean,X_V_sd,X_H_mean,X_H_sd,X_T_mean,X_T_sd
acid,18.0,4,True,4,4.94542072980592,192.1075672620645,0.2171435590839487,0.148287995069804,0.0555350360329775,0.0215834738967983,0.7273214044391796,0.1280808445277733
acid,18.5,4,True,4,4.94542072980592,192.1075672620645,0.2195037677661104,0.1485010358233737,0.0552328214964703,0.0213712515400146,0.7252634102929423,0.128468891255775
acid,19.0,4,True,4,4.94542072980592,192.1075672620645,0.2218707856301293,0.1486919633907225,0.0549353733425294,0.0211606575803609,0.7231938405812266,0.128834047801469
acid,19.5,4,True,4,4.94542072980592,192.1075672620645,0.2242441781385162,0.1488606625485057,0.0546426731830584,0.0209516874533665,0.7211131482288691,0.1291761896024487
acid,20.0,4,True,4,4.94542072980592,192.1075672620645,0.2266235032727381,0.1490070303661948,0.0543547027710144,0.0207443366188373,0.7190217935068854,0.1294952045167309
acid,20.5,4,True,4,4.94542072980592,192.1075672620645,0.2290083116998075,0.1491309763517821,0.0540714439790368,0.0205386005400692,0.7169202438691569,0.1297909929603158
acid,21.0,4,True,4,4.94542072980592,192.1075672620645,0.2313981469714842,0.1492324225479075,0.053792878822928,0.0203344747139686,0.7148089737513685,0.130063467993218
acid,21.5,4,True,4,4.94542072980592,192.1075672620645,0.2337925457189527,0.1493113036489821,0.0535189894514953,0.0201319546519467,0.7126884643733344,0.1303125554307219
acid,22.0,4,True,4,4.94542072980592,192.1075672620645,0.2361910378544107,0.1493675670960217,0.0532497581363644,0.0199310358665708,0.7105592035517028,0.13053819395021
acid,22.5,4,True,4,4.94542072980592,192.1075672620645,0.2385931468023017,0.1494011731487279,0.0529851672870784,0.0197317138918205,0.708421685451821,0.130740335140207
acid,23.0,4,True,4,4.94542072980592,192.1075672620645,0.2409983897140865,0.1494120949693219,0.0527251994400512,0.0195339842597092,0.7062764103835939,0.130918943589948
acid,23.5,4,True,4,4.94542072980592,192.1075672620645,0.2434062777184331,0.1494003186687028,0.0524698372618425,0.0193378425126618,0.7041238845580111,0.1310739969421369
acid,24.0,4,True,4,4.94542072980592,192.1075672620645,0.2458163161560556,0.1493658433623823,0.0522190635422747,0.0191432841852333,0.7019646198381524,0.1312054859382158
acid,24.5,4,True,4,4.94542072980592,192.1075672620645,0.2482280048446138,0.1493086811966782,0.0519728612031477,0.0189503048159691,0.6997991334849463,0.1313134144472619
acid,25.0,4,True,4,4.94542072980592,192.1075672620645,0.2506408383465274,0.149228857368884,0.0517312132914115,0.0187588999355715,0.6976279478957403,0.1313977994951695
acid,25.5,4,True,4,4.94542072980592,192.1075672620645,0.2530543062325696,0.1491264101326226,0.0514941029780557,0.0185690650610065,0.6954515903230818,0.1314586712615153
acid,26.0,4,True,4,4.94542072980592,192.1075672620645,0.2554678933698318,0.1490013907994991,0.0512615135603299,0.0183807956987376,0.6932705926015192,0.131496073088106
acid,26.5,4,True,4,4.94542072980592,192.1075672620645,0.2578810802210257,0.1488538637009264,0.051033428458344,0.018194087333269,0.6910854908515895,0.1315100614469216
acid,27.0,4,True,4,4.94542072980592,192.1075672620645,0.2602933431306298,0.1486839061637568,0.0508098312169552,0.0180089354357705,0.6888968251795441,0.1315007059160468
acid,27.5,4,True,4,4.94542072980592,192.1075672620645,0.2627041546386377,0.1484916084584745,0.0505907055058374,0.0178253354464023,0.6867051393822654,0.1314680891339054
acid,28.0,4,True,4,4.94542072980592,192.1075672620645,0.2651129837921151,0.1482770737327744,0.050376035116914,0.0176432827800897,0.6845109806151578,0.1314123067324222
acid,28.5,4,True,4,4.94542072980592,192.1075672620645,0.2675192964714523,0.1480404179283687,0.0501658039631507,0.0174627728195883,0.6823148990908329,0.1313334672671019
acid,29.0,4,True,4,4.94542072980592,192.1075672620645,0.269922555705071,0.1477817696949147,0.0499599960803731,0.0172838009049309,0.6801174477346072,0.1312316921236864
acid,29.5,4,True,4,4.94542072980592,192.1075672620645,0.2723222220203936,0.1475012702704612,0.0497585956311246,0.0171063623462877,0.6779191818716418,0.1311071154249407
acid,30.0,4,True,4,4.94542072980592,192.1075672620645,0.2747177537671674,0.1471990733648518,0.0495615868893739,0.0169304523973954,0.6757206588630799,0.1309598838941016
acid,30.5,4,True,4,4.94542072980592,192.1075672620645,0.2771086074710993,0.1468753450154477,0.0493689542642588,0.0167560662786046,0.6735224377844989,0.1307901567347133
acid,31.0,4,True,4,4.94542072980592,192.1075672620645,0.2794942381770665,0.1465302634390168,0.0491806822761897,0.0165831991421865,0.6713250790643388,0.1305981054830614
acid,31.5,4,True,4,4.94542072980592,192.1075672620645,0.2818740998098978,0.1461640188497338,0.0489967555753756,0.016411846099443,0.66912914413364,0.1303839138347318
acid,32.0,4,True,4,4.94542072980592,192.1075672620645,0.2842476455208742,0.1457768132933861,0.0488171589298341,0.0162420021916083,0.6669351950659153,0.1301477774726003
acid,32.5,4,True,4,4.94542072980592,192.1075672620645,0.2866143280575994,0.1453688604304684,0.0486418772357582,0.0160736624029852,0.6647437942223083,0.1298899038758063
acid,33.0,4,True,4,4.94542072980592,192.1075672620645,0.2889736001225745,0.14494038533421,0.0484708955076212,0.0159068216479252,0.6625555038848319,0.1296105121119517
acid,33.5,4,True,4,4.94542072980592,192.1075672620645,0.2913249147386137,0.1444916242589896,0.0483041988870585,0.0157414747708821,0.6603708858888002,0.1293098326120635
acid,34.0,4,True,4,4.94542072980592,192.1075672620645,0.2936677256144826,0.1440228243993628,0.0481417726396065,0.0155776165406068,0.6581905012601058,0.1289881069419777
acid,34.5,4,True,4,4.94542072980592,192.1075672620645,0.2960014875160871,0.1435342436336441,0.0479836021568951,0.0154152416504361,0.6560149098402968,0.1286455875432083
acid,35.0,4,True,4,4.94542072980592,192.1075672620645,0.2983256566302522,0.1430261502592075,0.0478296729579385,0.0152543447119216,0.6538446699244083,0.1282825374810353
acid,35.5,4,True,4,4.94542072980592,192.1075672620645,0.3006396909353837,0.1424988227066169,0.0476799706894265,0.0150949202519349,0.6516803378869424,0.1278992301622627
