panel_uid,n_curves,D_range_mV,E_range_mV,E_zero_and_nonzero,E_pos_and_neg
batch2/case72/figure_5__panel_a,7,219.51447262366247,399.9999774970548,False,True
batch2/case76/figure_5__panel_a,2,18.918722079169385,214.9525843326716,False,True
batch2/case82/figure_6__panel_d,3,16.769616460799522,377.00302752993144,False,True
batch2/case84/figure_2__a,2,38.92828442972296,11.93025647381666,True,False
batch2/case84/figure_3__panel_d,2,32.551397614393586,1.8237855670122372e-07,False,False
batch2/case85/figure_2__panel_d,2,197.99073536746317,8.371898434234026e-05,False,False
batch2/case90/figure_4__panel_a,2,4.0030947622928466,40.87495040563938,False,True
batch2/case90/figure_5__panel_d,2,3.8437285095446043,237.4706787377257,False,True
batch2/case91/figure_4__panel_a,4,61.74090235692532,206.0865743554492,False,True
batch2/case95/figure_2__panel_a,4,66.30997540814016,20.42861441138735,True,True
batch2/case95/figure_2__panel_d,2,17.77061304643017,4.734160683501415,False,False
batch2/case97/figure_5__panel_b,2,54.131164030783225,399.9999997025095,False,True
batch2/case98/figure_3__a,3,31.857070984112973,305.86339819217267,False,True
batch2/case98/figure_3__f,2,12.634865178169441,154.91072422508637,False,False
batch3/case303/figure_5__panel_a,5,110.83874469573138,214.3520202249401,False,True
batch3/case303/figure_5__panel_c,2,23.581782444845032,4.246353370263023e-06,False,False
batch3/case303/figure_5__panel_d,4,72.50238748739488,193.0600716377944,True,False
batch3/case303/figure_6__panel_c,2,111.19711918099829,211.58751199421843,False,True
batch3/case310/figure_3__panel_a,3,269.9599892871603,8.706332201646859,False,False
batch3/case311/figure_3__panel_d,2,88.45052913199865,2.7614536920662562,True,False
batch3/case311/figure_3__panel_e,2,7.72207849646891,194.17982763958415,False,False
batch3/case314/figure_5__panel_a,3,37.815252759882895,213.98658809891663,True,True
batch3/case314/figure_5__panel_i,4,73.26829941378476,198.60948321637576,True,False
batch3/case315/figure_4__panel_a,4,29.48497410221748,21.302039812443212,True,False
batch3/case315/figure_5__a,2,79.29236331994102,0.025272705415176233,False,False
batch3/case316/figure_3__panel_d,2,179.18701317958005,0.34288948694284693,False,False
batch3/case318/figure_6__panel_A,2,119.03355218626528,249.48909003788268,False,True
batch3/case318/figure_7__B,4,135.62087703038867,389.9151030045208,False,True
batch3/case324/figure_5__panel_d,2,7.641095385105174,6.575028688306968,False,False
batch3/case325/figure_4__panel_b,3,174.1691023033482,17.241996279024292,False,False
batch3/case328/figure_5__panel_a,2,40.805155539963124,86.08466775390823,True,False
batch3/case330/figure_4__panel_a,2,9.391090626139338,50.71995819653054,False,False
batch3/case334/figure_3__a,3,118.68021281119425,218.60304294876175,True,True
batch3/case334/figure_3__f,2,27.065123881987688,5.13514692102035e-07,False,False
batch3/case342/figure_3__panel_a,4,112.05401613083315,73.84353953211352,False,False
batch3/case343/figure_3__panel_g,2,60.76680225686789,92.36785079586454,False,False
batch3/case344/figure_3__panel_a,2,88.2755357621776,219.76759343554863,False,True
batch3/case346/figure_2__a,4,168.10519316399615,9.470301186789637,True,False
batch3/case347/figure_3__panel_a,3,214.23294195796854,29.29490626644668,False,False
